ID,type,$\nabla V$,$D_{TMSD}$,$v_{TMSD}$,$K_{\alpha}$,$\alpha_{TMSD}$,$v_{mean}$,$D_{v}$,$a_{v}$,$D_{\theta}$,$a_{\theta}$,$\tau$,$\beta$,$\alpha_{1}$,$\alpha_{2}$
BT01A-1,1,IB,0.3275,0.19,0.39,1.34,1.02,0.0008,0.0053,25.5556,0.0016,2.13e+30,79.22,0.64,-0.68
BT01A-2,1,IB,1.5325,0.48,0.75,1.64,1.16,0.0014,0.0034,12.7249,0.0016,0.0,-10.51,1.44,-0.25
BT01A-3,1,GF,0.1525,0.14,0.14,1.45,0.94,0.0004,0.0067,1.3219,0.0053,5.45e+03,5.09,0.85,-0.64
BT01A-4,1,RW,3.5675,0.74,2.12,1.59,1.21,0.0006,0.0005,1.7855,0.0095,140.46,0.56,1.79,0.35
BT01C-1,1,RW,3.41,0.69,5.87,1.32,2.49,0.0136,0.0053,0.9691,0.0101,1.02e+03,7.81,1.3,0.67
BT01C-2,1,RW,3.0775,0.68,3.6,1.41,2.36,0.0077,0.0052,1.7049,0.012,0.0,-36.93,1.34,0.64
BT01C-3,1,GF,1.4575,0.46,1.87,1.39,2.52,0.0139,0.0152,0.0778,0.0023,7.10e+03,7.46,1.35,0.2
BT01C-4,1,GF,0.505,0.22,1.36,1.19,1.87,0.0078,0.0158,0.8132,0.0092,3.13e+07,32.06,1.06,0.3
BT02A-1,1,IB,0.325,0.08,1.01,1.06,1.68,0.0041,0.0117,1.2131,0.0445,0.0,-97.95,1.42,0.47
BT02A-2,1,WF,5.76,0.95,5.21,1.48,2.52,0.0179,0.0057,22.0984,0.0018,5.46e+08,90.5,1.43,0.55
BT02A-3,1,IB,1.435,0.49,0.92,1.59,2.08,0.0065,0.0131,441.9584,0.004,2.79e+04,4.01,1.78,0.46
BT02A-4,1,GF,1.79,0.52,1.38,1.51,1.8,0.0055,0.0072,3.7611,0.0005,1.12e+03,6.88,1.63,0.44
BT02B-1,1,IB,0.0175,0.03,0.05,1.14,0.82,0.0,0.0012,64.2223,0.0029,4.21e+32,42.64,0.66,-0.68
BT02B-2,1,IB,0.0025,0.01,0.01,1.04,0.63,0.0,0.0,45.2017,0.002,1.05e+26,31.29,0.42,-0.7
BT02B-3,1,GF,0.365,0.21,0.31,1.44,1.32,0.0011,0.0095,0.3618,0.0034,4.96e+06,49.82,0.42,-0.58
BT02B-4,1,IB,0.0225,0.03,0.1,1.09,1.15,0.0,0.0021,0.8454,0.0043,0.0,-19.73,0.7,-0.66
BT03A-1,1,RW,4.2725,0.79,5.7,1.38,2.15,0.004,0.0022,0.0644,0.0041,33.95,-4.58,1.81,0.59
BT03A-2,1,GF,0.76,0.34,0.8,1.44,1.83,0.0061,0.0147,0.6426,0.0254,1.09e+04,29.49,1.26,-0.02
BT03A-3,1,WF,5.3375,0.92,3.69,1.56,2.04,0.0085,0.004,13.3649,0.0028,71.15,-0.58,1.79,0.65
BT03A-4,1,IB,0.49,0.24,0.95,1.27,1.82,0.0039,0.0108,8.1003,0.0069,0.0,-59.06,0.95,-0.14
BT03B-1,1,GF,0.205,0.15,0.29,1.29,0.83,0.0001,0.0008,1.0068,0.0028,2.27e+03,8.85,0.77,-0.68
BT03B-2,1,IB,0.7075,0.3,1.16,1.31,1.45,0.0013,0.0038,19.8224,0.0037,1.85e+06,17.99,1.21,-0.57
BT03B-3,1,IB,0.7475,0.32,0.78,1.42,1.59,0.0022,0.0067,23.386,0.0073,228.31,-1.77,1.49,-0.58
BT03B-4,1,WF,1.705,0.51,1.08,1.57,1.47,0.0007,0.0024,18.1676,0.002,136.69,-1.42,1.43,-0.52
BT04A-1,2,GF,0.105,0.12,0.08,1.49,0.75,0.0001,0.0028,44.9714,0.0018,1.27e+04,1.81,0.83,-0.7
BT04A-2,2,GF,0.145,0.12,0.23,1.28,1.1,0.0003,0.005,2.8557,0.0312,2.36e+05,4.52,0.66,-0.64
BT04A-3,2,GF,0.0625,0.08,0.09,1.28,0.92,0.0001,0.0033,1.3005,0.0246,9.11e+03,1.72,0.68,-0.7
BT04A-4,2,GF,0.46,0.25,0.44,1.45,0.96,0.0001,0.001,8.8672,0.0014,1.12e+04,2.18,0.83,-0.68
BT04B-1,2,GF,5.0125,0.82,6.69,1.36,2.14,0.0022,0.0009,2.1211,0.0024,5.62e+03,4.18,1.23,0.49
BT04B-2,2,GF,2.2325,0.53,2.78,1.36,2.04,0.0072,0.0054,43.035,0.0022,23.09,-1.65,1.78,0.55
BT04B-3,2,WF,9.085,1.18,6.38,1.54,2.01,0.0015,0.0,3.2273,0.0014,1.69e+03,1.91,1.24,0.82
BT04B-4,2,GF,1.3825,0.45,1.15,1.49,2.02,0.0067,0.0097,0.2161,0.0046,1.82e+10,10.11,1.41,0.22
BT05A-1,2,IB,0.2925,0.2,0.31,1.41,0.92,0.0009,0.0073,11.8427,0.0087,2.62e+03,0.48,1.38,-0.68
BT05A-2,2,IB,0.0,-0.0,0.0,0.88,0.43,0.0,0.0013,0.0708,0.0014,0,0.0,0.0,0.0
BT05A-3,2,IB,0.0025,0.0,0.03,0.88,0.81,0.0,0.0047,0.6572,0.006,0.0,-32.83,0.37,-0.6
BT05A-4,2,WF,7.015,1.06,3.71,1.63,1.4,0.0007,0.0005,0.7273,0.0203,11.59,0.01,1.65,0.82
BT05B-1,2,RW,4.7725,0.79,5.95,1.37,2.09,0.0115,0.0051,4.3921,0.0184,5.29,-1.22,1.47,0.66
BT05B-2,2,IB,0.0025,-0.0,0.12,0.46,1.2,0.0,0.0048,0.5709,0.006,2.14e+12,9.63,0.71,-0.65
BT05B-3,2,IB,0.0375,0.06,0.13,1.13,1.01,0.0003,0.0053,3.1571,0.0209,225.09,0.07,0.95,-0.66
BT05B-4,2,GF,0.47,0.17,0.9,1.16,1.35,0.0008,0.0033,6.9322,0.0037,1.12e+03,0.78,1.32,-0.57
BT06A-1,1,WF,6.13,0.9,7.0,1.39,1.98,0.0033,0.0017,1.4475,0.0043,215.74,2.84,1.34,0.86
BT06A-2,1,IB,0.0,-0.0,0.01,0.8,0.65,0.0,0.0011,39.3932,0.0025,2.52e+03,1.62,0.29,-0.7
BT06A-3,1,IB,0.0,0.0,0.0,0.69,0.32,0.0,0.0016,5.7456,0.0025,0,0.0,0.0,0.0
BT06A-4,1,IB,0.7875,0.32,0.92,1.38,1.49,0.0021,0.0052,39.9044,0.0016,3.72e+04,4.13,1.04,-0.51
BT06B-1,1,RW,6.5925,0.54,-4.08,0.0,2.43,0.0036,0.0,28.0528,0.0022,33.16,1.52,1.49,1.13
BT06B-2,1,GF,0.71,0.18,5.45,1.08,2.3,0.0129,0.0074,28.1621,0.0014,348.44,1.34,1.96,0.94
BT06B-3,1,RW,3.085,0.65,6.38,1.28,2.42,0.0169,0.0058,23.1473,0.0015,331.3,0.95,1.97,1.11
BT06B-4,1,RW,1.945,0.47,5.79,1.2,2.15,0.0124,0.0056,11.7611,0.0015,4.47e+03,5.05,1.59,0.78
BT08A-1,2,GF,0.5875,0.3,0.38,1.56,0.89,0.0002,0.0018,7.5896,0.0012,16.0,-0.94,1.39,-0.3
BT08A-2,2,RW,1.4325,0.47,0.85,1.59,1.05,0.0008,0.0025,0.8384,0.0113,411.83,1.1,1.43,-0.36
BT08A-3,2,GF,0.54,0.29,0.22,1.7,0.92,0.001,0.0067,5.5152,0.0028,1.63e+03,1.53,1.49,-0.57
BT08A-4,2,IB,0.0225,0.06,0.02,1.48,0.62,0.0,0.004,0.6227,0.0025,2.73e+06,4.0,0.68,-0.7
BT08B-1,2,GF,4.76,0.88,5.31,1.44,2.97,0.0227,0.0077,0.2161,0.0047,1.32e+03,103.22,1.34,-0.62
BT08B-2,2,IB,2.385,0.63,2.02,1.52,2.85,0.0166,0.0143,0.911,0.0029,0.0,-9.31,1.45,0.81
BT08B-3,2,WF,4.4675,0.86,2.51,1.62,2.46,0.0141,0.0083,33.0102,0.0039,3.89e+26,27.15,1.4,0.56
BT08B-4,2,GF,1.1425,0.42,1.96,1.34,2.36,0.0116,0.0135,53.5094,0.003,3.67e+03,13.33,1.28,0.13
BT09A-1,2,GF,0.765,0.27,1.91,1.2,1.33,0.0023,0.0038,23.7751,0.0064,1.23e+03,1.28,1.47,-0.52
BT09A-2,2,GF,0.4975,0.22,0.69,1.29,1.56,0.0044,0.0133,5.9475,0.0045,1.37e+03,10.62,1.69,0.21
BT09A-3,2,RW,3.05,0.65,3.65,1.39,1.97,0.0099,0.0048,49.8721,0.0111,4.47e+04,33.87,1.29,0.55
BT09A-4,2,IB,0.2425,0.14,1.15,1.13,1.95,0.0073,0.0186,3.1633,0.0041,392.27,0.27,1.77,0.34
BT09B-1,2,WF,8.5725,1.11,7.45,1.47,2.35,0.0076,0.0022,1.5149,0.0224,783.18,3.48,1.26,0.63
BT09B-2,2,GF,0.7275,0.35,0.5,1.57,1.44,0.0024,0.0086,4.3703,0.019,1.17e+04,5.1,1.46,-0.37
BT09B-3,2,GF,0.1625,0.0,0.97,0.96,1.79,0.0044,0.0145,50.5005,0.0019,2.04e+07,14.47,1.45,0.24
BT09B-4,2,GF,0.45,0.23,0.59,1.33,1.9,0.0043,0.0152,110.3608,0.0025,4.90e+03,8.63,1.71,0.32
BT10A-1,2,RW,5.5875,0.86,7.57,1.35,1.84,0.0009,0.0,2.306,0.0036,49.56,1.56,1.39,0.73
BT10A-2,2,GF,1.6325,0.5,1.9,1.42,1.74,0.0114,0.0121,0.2674,0.0048,32.73,-0.74,1.47,0.31
BT10A-3,2,RW,8.57,1.14,7.29,1.49,1.84,0.0012,0.0,0.5355,0.004,4.37,-1.43,1.5,0.77
BT10A-4,2,RW,1.8525,0.43,2.96,1.27,1.54,0.0099,0.0071,11.053,0.0078,9.48e+09,4.07,1.41,-0.46
BT10B-1,2,RW,4.8025,0.88,3.98,1.51,1.97,0.0059,0.0046,15.272,0.0266,680.05,0.55,1.56,0.48
BT10B-2,2,WF,7.9875,1.14,4.1,1.64,2.05,0.0156,0.0064,0.601,0.0161,633.25,0.87,1.62,0.77
BT10B-3,2,IB,4.9675,0.88,3.75,1.53,2.04,0.0185,0.0088,1.585,0.0271,0.01,-2.14,1.47,0.66
BT10B-4,2,GF,1.0075,0.39,0.57,1.59,1.44,0.0058,0.0177,42.629,0.0078,1.34e+03,1.45,0.59,-0.47
BT11A-1,3,IB,3.0225,0.67,2.6,1.48,1.89,0.0162,0.0105,0.7632,0.0057,0.01,-1.31,1.15,0.74
BT11A-2,3,IB,1.55,0.49,0.98,1.58,1.78,0.013,0.0225,17.0011,0.007,0.0,-4.98,0.32,-0.51
BT11A-3,3,IB,0.715,0.31,1.15,1.32,1.93,0.0145,0.027,0.1435,0.0155,20.92,-0.6,1.79,0.21
BT11A-4,3,IB,0.47,0.28,0.46,1.48,1.83,0.01,0.0457,9.085,0.0027,5.14e+14,6.34,1.61,0.19
BT11B-1,3,GF,3.99,0.77,3.01,1.51,2.11,0.0182,0.0103,1.9753,0.0052,5.56e+03,2.78,1.09,-0.23
BT11B-2,3,GF,2.1475,0.57,2.88,1.39,1.99,0.0083,0.0092,1.5727,0.024,1.79e+05,7.7,1.39,-0.56
BT11B-3,3,GF,3.365,0.72,3.52,1.44,2.04,0.012,0.0089,3.8415,0.0338,1.13e+04,7.39,1.4,0.29
BT11B-4,3,GF,0.5725,0.3,0.7,1.41,1.65,0.006,0.0201,1.5081,0.0909,26.68,-2.93,1.27,-0.52
BT12A-1,3,RW,6.1225,0.85,-4.16,0.0,3.19,0.0209,0.0033,9.6931,0.0033,3.41e+03,4.19,1.24,0.64
BT12A-2,3,GF,1.6425,0.45,2.21,1.34,2.07,0.0049,0.0059,12.5487,0.0169,1.43e+03,13.19,0.97,0.33
BT12A-3,3,IB,0.3275,0.23,0.21,1.58,1.8,0.001,0.0124,12.5749,0.005,3.44e+11,5.05,1.17,-0.63
BT12A-4,3,GF,1.9975,0.56,1.5,1.53,1.85,0.0053,0.0068,8.5606,0.0242,99.75,-2.21,1.65,-0.3
BT12B-1,3,RW,13.2125,1.43,-3.65,0.0,2.36,0.0032,0.0,0.3919,0.0008,98.11,0.46,1.7,1.08
BT12B-2,3,GF,0.4375,0.23,0.84,1.27,1.3,0.0017,0.0053,8.6169,0.0088,739.28,2.93,1.04,-0.63
BT12B-3,3,GF,0.62,0.28,0.87,1.34,1.31,0.003,0.0076,0.6149,0.0051,7.72e+05,11.18,1.35,-0.6
BT12B-4,3,GF,0.49,0.24,0.62,1.34,1.29,0.0009,0.0051,0.2293,0.004,18.12,-2.72,1.43,-0.57
BT13A-1,3,RW,7.08,0.83,-3.87,0.0,3.31,0.0246,0.0031,19.889,0.0025,564.22,1.67,1.28,0.78
BT13A-2,3,RW,9.705,1.23,9.14,1.47,2.22,0.0027,0.0007,3.264,0.001,2.18,-0.92,1.12,0.72
BT13A-3,3,RW,9.62,1.22,9.27,1.46,2.19,0.0018,0.0,0.5305,0.0156,30.92,-0.35,1.72,0.68
BT13A-4,3,RW,6.14,0.97,6.15,1.45,1.78,0.0021,0.0009,0.9701,0.019,0.3,-1.03,1.1,0.59
BT13B-1,3,RW,12.0725,1.36,-4.11,0.0,2.68,0.0055,0.0013,2.452,0.0165,376.49,0.78,1.5,0.74
BT13B-2,3,WF,11.815,1.29,-4.13,0.0,2.33,0.0027,0.0,5.148,0.0007,0.18,-1.33,1.21,0.84
BT13B-3,3,WF,7.98,1.13,4.85,1.59,1.67,0.0012,0.0,2.0763,0.0038,0.0,-1.8,0.49,0.33
BT13B-4,3,WF,7.175,1.08,5.27,1.55,1.84,0.0021,0.001,7.2133,0.0061,0.0,-2.01,0.56,0.29
BT14A-1,3,RW,6.885,0.94,12.11,1.3,2.4,0.0034,0.0008,2.2831,0.0142,242.25,0.45,1.82,0.93
BT14A-2,3,IB,0.0125,0.0,0.06,1.03,1.11,0.0,0.0024,29.7642,0.0022,2.21e+162,58.32,0.0,0.0
BT14A-3,3,GF,2.2775,0.59,3.13,1.38,2.04,0.0063,0.005,2.6944,0.0181,4.88e+04,4.34,1.29,0.05
BT14A-4,3,GF,1.7275,0.51,2.08,1.41,1.99,0.0048,0.0065,0.2529,0.0054,7.87e+03,8.14,1.36,-0.0
BT14B-1,3,IB,1.4425,0.4,2.42,1.28,1.67,0.0028,0.004,115.7583,0.0083,226.04,-0.08,1.98,0.77
BT14B-2,3,RW,1.0975,0.31,1.96,1.23,1.51,0.0027,0.0038,42.3353,0.005,6.12e+03,0.59,1.81,-0.25
BT14B-3,3,IB,0.5075,0.27,0.64,1.38,1.24,0.0005,0.0032,81.933,0.0065,0.01,-2.29,1.55,-0.59
BT14B-4,3,IB,0.6575,0.2,1.72,1.14,1.54,0.0017,0.0041,3.5034,0.0149,4.42e+03,0.82,1.75,0.21
BT15A-1,3,RW,12.325,1.34,180.28,0.0,2.62,0.0032,0.0,2.5224,0.0025,307.21,0.43,1.82,0.85
BT15A-2,3,IB,1.565,0.48,1.78,1.41,2.18,0.0085,0.0105,19.9722,0.0108,4.28e+03,0.65,1.83,0.45
BT15A-3,3,RW,4.0325,0.8,3.23,1.52,1.56,0.002,0.0017,3.6611,0.003,13.24,-0.7,1.79,0.28
BT15A-4,3,GF,0.2375,0.18,0.22,1.46,1.63,0.0047,0.0447,0.6562,0.0063,9.25e+05,3.23,1.15,-0.62
BT15B-1,3,GF,4.135,0.82,4.0,1.48,2.33,0.0102,0.0051,2.7297,0.0368,0.0,-382.83,0.0,-0.7
BT15B-2,3,IB,0.3,0.2,0.22,1.5,0.96,0.0007,0.0061,1.7036,0.0046,6.47e+08,3.54,1.17,-0.63
BT15B-3,3,RW,9.225,1.26,6.47,1.57,2.48,0.019,0.0043,1.3945,0.0036,8.04e+06,5.83,1.42,0.74
BT15B-4,3,WF,18.44,1.73,12.85,1.56,2.5,0.0036,0.0,1.3487,0.0018,61.92,1.16,1.14,0.93
BT18A-1,1,IB,0.0525,0.07,0.09,1.25,0.97,0.0,0.0008,15.1906,0.0057,0.0,-8.98,0.63,-0.66
BT18A-2,1,GF,1.4475,0.44,2.79,1.29,2.64,0.0153,0.0128,2.6002,0.003,4.01e+06,223.97,1.44,-0.7
BT18A-3,1,IB,2.225,0.55,2.55,1.4,2.24,0.0077,0.0067,47.5484,0.0027,138.35,0.03,1.85,0.67
BT18A-4,1,RW,4.2925,0.82,5.03,1.42,1.82,0.0024,0.0015,28.3493,0.0026,3.12e+03,1.32,1.85,0.13
BT18B-1,1,GF,0.7225,0.34,0.53,1.55,1.25,0.0022,0.0078,7.4974,0.0025,842.46,1.96,1.61,-0.34
BT18B-2,1,GF,0.1725,0.15,0.16,1.43,0.93,0.0002,0.0042,48.7039,0.0026,1.82e+03,2.91,1.06,-0.67
BT18B-3,1,RW,3.24,0.72,1.69,1.63,1.59,0.0034,0.0039,0.3356,0.0067,437.63,1.18,1.77,0.61
BT18B-4,1,GF,1.915,0.55,0.9,1.66,1.45,0.0031,0.0059,7.4899,0.0041,3.22e+03,3.24,1.28,0.17
